Tweet,Lemmatized_Tokens,Polarity,Polarity_Intensity,Emotion
άλλα με την φιλανθρωπία που διακρίνει την τάξη των ΑΡΊΣΤΩΝ αρπακτικών της εξουσίας.,"['φιλανθρωπίας', 'διακρίνω', 'τάξη', 'αρίστος', 'αρπακτικός', 'εξουσία']",0,0,χαρά
RT @jedijig: Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ε…,"['κατά', 'συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος']",0,0,θλίψη
"Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της ΕΕ, γιατί διαφωνώ με τις περικοπές σε ΚΑΠ &amp; Συνοχή, γιατί θεωρώ ντροπή η ΕΕ να έχει παραλύσει στο προσφυγικό κ η Κομισιόν να είναι όμηρος των Ορμπαν-Σαλβίνι"".","['καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', 'του', 'αεπ', 'διαφωνώ', 'τις', 'περικοπή', 'καπ', 'συνοχή', 'θεωρώ', 'ντροπή', 'έχω', 'παραλύσω', 'προσφυγικό', 'κομισιόν', 'είναι', 'όμηρος', 'ορμπανσαλβίνι', 'αμπέραζ']",-1,-1,θλίψη
"RT @papadimoulis: Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της…","['στο', 'καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', 'του', 'αεπ', 'της', '…']",0,0,έκπληξη
Πρόσφυγας από την Μπουρκίνα Φασο.,"['πρόσφυγας', 'την', 'μπουρκίνος', 'φασο']",0,0,θυμός
Φαντάζομαι δεν ξερεις που είναι.,"['φαντάζομαι', 'ξερει', 'είναι']",1,1,έκπληξη
"""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι σεξιστική επίθεση, μην τρελαθούμε κιόλας, δεν την είπε βουλευτή αντί για βουλεύτρια ή κάτι τόσο βαρύ...","['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', 'σεξιστικός', 'επίθεση', 'τρελαθούμε', 'δεν', 'λέω', 'βουλευτή', 'για', 'βουλεύτριος', 'τόσο', 'βαρύ']",-1,-1,θυμός
"RT @CostasPap: ""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι…","['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', '…']",0,0,έκπληξη
Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']",0,0,ουδέτερο
Ο Κούλης στο συνέδριο του ΕΛΚ ζήτησε να δεχθούν ασυνόδευτα παιδιά. Αποτέλεσμα: αρνήθηκαν και αυτός διόρισε άσχετους σφουγγοκωλαριους Αγαπηδάκη Δοξιάδη..,"['κούλης', 'συνέδριο', 'ελκ', 'ζήτησε', 'δεχθώ', 'ασυνόδευτα', 'παιδιά', 'αποτέλεσμα', 'αρνήθηκαν', 'αυτός', 'διόρομαι', 'άσχετους', 'σφουγγοκωλαριου', 'αγαπηδάκη', 'δοξιάδη']",0,0,θυμός
RT @HoboSapios: Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']",0,0,ουδέτερο
Ο Κούλης στο συνέδριο τ…,"['κούλης', 'συνέδριο']",0,0,φόβος
"Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκεμα με το μεταναστευτικό ζήτημα. Κάποιοι τσιμπάνε και νομίζουν ότι μιλάμε για μωρά και ζητάνε να τα υιοθετήσουν κιόλας.","['εντάξω', 'ζάλισε', 'μητσοτάκης', 'ανήλικας', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκεμα', 'μεταναστευτικό', 'ζήτημα', 'τσιμπάνε', 'νομίζω', 'μιλάμε', 'μωρώ', 'ζητάνε', 'υιοθετήσω']",-1,-1,έκπληξη
"RT @alexsgouros3: Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκε…","['εντάξω', 'ζάλισε', 'μητσοτάκης', 'ανήλικας', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκε', '…', 'τρία']",0,0,έκπληξη
"Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη","['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']",0,0,θυμός
"Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει, ότι είδους παρανομία και αν είναι αυτή. Θα βγάλουν τα όπλα.","['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', 'είδου', 'παρανομίας', 'αυτή', 'βγάλω', 'όπλο']",0,0,θυμός
"RT @DelgadoSero: Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη","['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']",0,0,θυμός
Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει…,"['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', '…']",0,0,θυμός
«Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατάκα για πέσιμο?,"['παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατάκος', 'πέσιμο']",1,1,θυμός
RT @tolisv: «Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατά…,"['σας', 'παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατά', '…']",1,1,θυμός
"Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιας']",0,0,αηδία
μέσω του χρήστη @avgionline,"['του', 'χρήστη']",0,0,αηδία
"RT @AvgiOnline: Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιας']",0,0,αηδία
"Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρωτουρκικό","['βαρβιτσιώτης', 'λάθος', '‘', 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρωτουρκικό', 'seventyeight']",-1,-1,θυμός
"RT @enikos_gr: Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρ…","['βαρβιτσιώτης', 'λάθος', '‘', 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρ', '…', 'seventyeight']",-1,-1,θυμός
"Debate Λαζαρίδη - Τριανταφυλλίδη στον Realfm 97,8 για το μεταναστευτικό - προσφυγικό","['λαζαρίδη', 'τριανταφυλλίδη', 'για', 'μεταναστευτικό', 'προσφυγικό', 'seventyeight', 'δημόσιος', 'συζήτηση']",0,0,θυμός
"Θυμάμαι τις φτωχογειτονιές του Μονακό που μεγάλωσα να ερημώνουν, καθώς η προσφυγιά και η μετανάστευση χτυπούσαν τη μια βίλλα μετά την άλλη και τους φίλους μου να φεύγουν με τις οικογένειές τους, σε αναζήτηση καλύτερης μεταχείρισης σε μακρυνους φορολογικους παραδείσους","['θυμάμαι', 'φτωχογειτονιός', 'μονακό', 'μεγάλωσο', 'ερημώνω', 'προσφυγιά', 'μετανάστευση', 'χτυπώ', 'μια', 'βίλλας', 'την', 'και', 'φίλου', 'φεύγω', 'τις', 'οικογένειός', 'αναζήτηση', 'καλός', 'μεταχείριση', 'μακρυνους', 'φορολογικου', 'παραδείσου']",0,0,φόβος
"RT @thanos1625: Θυμάμαι τις φτωχογειτονιές του Μονακό που μεγάλωσα να ερημώνουν, καθώς η προσφυγιά και η μετανάστευση χτυπούσαν τη μια βίλλ…","['θυμάμαι', 'φτωχογειτονιός', 'μονακό', 'μεγάλωσο', 'ερημώνω', 'προσφυγιά', 'μετανάστευση', 'χτυπώ', 'μια', 'βίλλ', '…', 'six', 'rt']",0,0,αηδία
Παράνομη είσοδο στην χώρα και σταματήστε επιτέλους αυτή την καραμέλα.,"['παράνομη', 'είσοδος', 'χώρα', 'σταματήστε', 'επιτέλους', 'την', 'καραμέλα']",0,0,θυμός
Τα ευρωπαϊκά ταξίδια Μητσοτάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα της λαθρομετανάστευσης θυμίζουν τα ευρωπαϊκά ταξίδια Τσίπρα και Βαρουφάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα του χρέους. Πολυλογία και συναισθηματισμός άνευ αποτελέσματος.,"['ευρωπαϊκά', 'ταξίδιος', 'μητσοτάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'λαθρομετανάστευση', 'θυμίζω', 'ευρωπαϊκά', 'ταξίδιο', 'Τσίπρα', 'βαρουφάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'χρέους', 'πολυλογία', 'συναισθηματισμός', 'αποτελέσματο']",-1,-2,αηδία
RT @egrammes: Τα ευρωπαϊκά ταξίδια Μητσοτάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα της λαθρομετανάστευσης θυμίζουν τα ευρω…,"['ευρωπαϊκά', 'ταξίδιος', 'μητσοτάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'λαθρομετανάστευση', 'θυμίζω', 'ευρω', '…']",-1,-1,αηδία
"Άντε γιατί μας έχετε ζαλίσει όλοι οι ανθρωπιστές της δεκάρας, ότι δεν μπορεί να απελαθεί κανένας.","['άντε', 'μας', 'ζαλίσω', 'ανθρωπιστός', 'δεκάρα', 'δεν', 'απελαθώ']",-1,-1,θυμός
"RT @georgegkolias: Άντε γιατί μας έχετε ζαλίσει όλοι οι ανθρωπιστές της δεκάρας, ότι δεν μπορεί να απελαθεί κανένας.","['άντε', 'μας', 'ζαλίσω', 'ανθρωπιστός', 'δεκάρα', 'δεν', 'απελαθώ']",-1,-1,θυμός
Παρδόν;;; Δηλαδή εμείς πληρώνουμε για να δεχόμαστε εισβολή;;,"['παρδόν', 'εμείς', 'πληρώνω', 'δεχόμαστε', 'εισβολή']",0,0,θυμός
Μέρος του υπερπλεονάσματος για το μεταναστευτικό – Τι σχεδιάζει η κυβέρνηση |,"['μέρος', 'υπερπλεονάσματο', 'μεταναστευτικό', 'σχεδιάζω', 'κυβέρνηση']",0,0,φόβος
RT @niades: Παρδόν;;; Δηλαδή εμείς πληρώνουμε για να δεχόμαστε εισβολή;;,"['παρδόν', 'εμείς', 'πληρώνω', 'δεχόμαστε', 'εισβολή']",0,0,θυμός
Μέρος του υπερπλεονάσματος για το μεταναστευτικό – Τι σχεδιάζει η…,"['μέρος', 'υπερπλεονάσματο', 'μεταναστευτικό', 'σχεδιάζω']",0,0,φόβος
"ψάξτε βρήκε προβάλετε success story με ""μετανάστες""  βάλτε και λίγο σάλτσα και σερβίρετε στο πόπολο","['ψάξτε', 'βρήκε', 'προβάλω', 'μετανάστες', 'βάλτε', 'λίγο', 'σάλτσα', 'σερβίρω', 'πόπολος', 'επιτυχία']",1,1,χαρά
"Ο κανονικός τίτλος έπρεπε να είναι ""Αφγανή πρόσφυγας ζωγραφίζει πατρόν""","['κανονικός', 'τίτλος', 'έπρεπε', 'είναι', 'αφγανός', 'πρόσφυγας', 'ζωγραφίζω', 'πατρόν']",-1,-1,έκπληξη
RT @alopeki: εντολή προς ΑΜΕ ΑΠΕ,"['εντολή', 'αμε', 'απε']",0,0,εμπιστοσύνη
Ο πραγματικος λογος:Χάνουν τα εξτραδακια οι επιχειρησεις εστιασης και τα λεφτα των μισθωσεων ξενοδοχειων κλ ακινήτων που ειναι πολλά.Στα τακουνια τους όλα τα αλλα.,"['πραγματικος', 'λογοςχάνω', 'εξτραδακιας', 'επιχειρησει', 'εστιαση', 'λεφα', 'μισθωσεο', 'ξενοδοχειος', 'ακινήτο', 'ειναι', 'πολλάστα', 'τακουνιας', 'όλος', 'αλλα']",0,0,έκπληξη
RT @MariaDecokeke: Ο πραγματικος λογος:Χάνουν τα εξτραδακια οι επιχειρησεις εστιασης και τα λεφτα των μισθωσεων ξενοδοχειων κλ ακινήτων που…,"['πραγματικος', 'λογοςχάνω', 'εξτραδακιας', 'επιχειρησει', 'εστιαση', 'λεφα', 'μισθωσεο', 'ξενοδοχειος', 'ακινήτο', 'που', '…']",0,0,αηδία
"Φανταστείτε να έλεγε αναρχικός ότι σε περίπτωση που οι φασίστες - παραδείγματος χάριν - τον απειλήσουν, θα τραβήξει όπλα για αυτοάμυνα.","['φανταστείτε', 'έλεγε', 'αναρχικός', 'περίπτωση', 'φασίστες', 'παραδείγμα', 'χάριν', 'απειλήσω', 'τραβήξω', 'όπλος', 'αυτοάμυνα']",-1,-1,θυμός
Σίγουρη φυλακή. Και συνθήματα περί τρομοκρατίας.,"['σίγουρη', 'φυλακός', 'συνθήματας', 'τρομοκρατία']",-1,-1,φόβος
Αν τα λέει όμως Έλληνας μπατριώτης. Τον βγάζουν και στον Παπαδάκη να μιλάει με πολιτικούς,"['λέω', 'Έλληνας', 'μπατριώτη', 'βγάζω', 'στον', 'παπαδάκη', 'μιλώ', 'πολιτικού']",0,0,θυμός
"RT @DelgadoSero: Φανταστείτε να έλεγε αναρχικός ότι σε περίπτωση που οι φασίστες - παραδείγματος χάριν - τον απειλήσουν, θα τραβήξει όπλα γ…","['φανταστείτε', 'έλεγε', 'αναρχικός', 'περίπτωση', 'φασίστες', 'παραδείγμα', 'χάριν', 'απειλήσω', 'τραβήξω', 'όπλο']",-1,-1,φόβος
@GKoumoutsakos @kmitsotakis @GiuseppeConteIT Κύριε κουμουτσάκο ίσως θα έπρεπε να μεταφέρετε στην κυβέρνησή σας τη δυσαρέσκεια των ψηφοφόρων δεν λέω του λαού λέω των ψηφοφόρων είμαστε πάρα πολύ δυσαρεστημένοι μπορεί όλα να τα κάνετε καλά στο μεταναστευτικό όμως παίρνετε 0 με τόνο. Μας κάψατε. Μας τελειώσατε.,"['κύριε', 'κουμουτσάκο', 'έπρεπε', 'μεταφέρω', 'κυβέρνησή', 'δυσαρέσκεια', 'ψηφοφόρος', 'λέω', 'λαός', 'λέω', 'ψηφοφόρα', 'πάρα', 'δυσαρεστημένοι', 'όλος', 'κάνω', 'στο', 'μεταναστευτικό', 'παίρνω', 'τόνο', 'κάψατε', 'τελειώσατε', 'μηδέν']",-1,-2,θυμός
RT @pekrameneapoola: @GKoumoutsakos @kmitsotakis @GiuseppeConteIT Κύριε κουμουτσάκο ίσως θα έπρεπε να μεταφέρετε στην κυβέρνησή σας τη δυσα…,"['κύριε', 'κουμουτσάκο', 'έπρεπε', 'μεταφέρω', 'κυβέρνησή', 'δυσος', '…']",0,0,φόβος
"Στο μεταναστευτικό ο ΣΥΡΙΖΑ είχε πολιτική “ανοικτών συνόρων”, αργές διαδικασίες ασύλου και ελάχιστες επιστροφές. Αντίθετα η ΝΔ κωδικοποίησε τη νομοθεσία, επιτάχυνε διαδικασίες ασύλου και επιστροφές και δείχνει ισχυρή βούληση για τη φύλαξη των συνόρων! 📻 @kanaliena904","['μεταναστευτικό', 'συριζο', 'πολιτική', '""', 'ανοικτής', 'συνόρα', '""', 'αργά', 'διαδικασία', 'ασύλο', 'ελάχιστες', 'επιστροφή', 'αντίθετα', 'κωδικοποίησε', 'νομοθεσία', 'επιτάχυνε', 'διαδικασία', 'ασύλο', 'επιστροφές', 'δείχνω', 'ισχυρός', 'βούληση', 'φύλαξη', 'συνόρα', 'and', 'ραδιόφωνο']",1,1,θυμός
"RT @vozemberg: Στο μεταναστευτικό ο ΣΥΡΙΖΑ είχε πολιτική “ανοικτών συνόρων”, αργές διαδικασίες ασύλου και ελάχιστες επιστροφές. Αντίθετα η…","['στο', 'μεταναστευτικό', 'συριζο', 'πολιτική', '""', 'ανοικτής', 'συνόρα', '""', 'αργά', 'διαδικασία', 'ασύλο', 'ελάχιστες', 'επιστροφή', 'αντίθετα']",0,0,θυμός
Αν αδυνατείτε να πιστέψετε όλα αυτά τα ξεφτιλίκια που κάνει στο μεταναστευτικό και στην δημόσια διοίκηση η #ΝΔ_no_borders θυμηθείτε ότι πρώτοι σε σταυρούς βγαίνουν κάτι βαρβιτσιώτηδες και κεφαλογιαννες. Ένα σάπιο κόμμα που θα έπρεπε να έχει παρόμοια τύχη με το ΠΑΣΟΚ.,"['αδυνατείτε', 'πιστέψω', 'αυτά', 'ξεφτιλίκιο', 'κάνω', 'μεταναστευτικό', 'στην', 'δημόσιος', 'διοίκηση', 'νδno', 'θυμηθείτε', 'πρώτοι', 'σταυρού', 'βγαίνω', 'βαρβιτσιώτηδες', 'κεφαλογιαννες', 'σάπιος', 'κόμμα', 'έπρεπε', 'έχω', 'παρόμοιος', 'τύχη', 'πασοκ', 'σύνορο']",1,1,θυμός
RT @roman_evzon: Αν αδυνατείτε να πιστέψετε όλα αυτά τα ξεφτιλίκια που κάνει στο μεταναστευτικό και στην δημόσια διοίκηση η #ΝΔ_no_borders…,"['αδυνατείτε', 'πιστέψω', 'αυτά', 'ξεφτιλίκιο', 'κάνω', 'μεταναστευτικό', 'στην', 'δημόσιος', 'διοίκηση', 'νδno', 'σύνορο']",0,0,θυμός
"Καιρίδης: ""Αν αποτύχουν τα σχέδια για το προσφυγικό τα ξερονήσια θα φαντάζουν Πολυάννα""","['καιρίδης', 'αποτύχω', 'σχέδιο', 'προσφυγικό', 'ξερονήσι', 'φαντάζω', 'πολυάννα']",0,0,χαρά
"Αν η #ΝΔ_no_borders δεν αλλάξει την πολιτική των ανοιχτών συνόρων και δεν αρχίσει να φυλάει τα σύνορα, είναι βέβαιο ότι θα αποτύχουν τα σχέδια.","['νδno', 'αλλάξω', 'πολιτικός', 'ανοιχτής', 'συνόρα', 'δεν', 'αρχίσω', 'φυλάω', 'σύνορος', 'βέβαιο', 'αποτύχω', 'σχέδιος', 'σύνορο']",0,0,θυμός
"RT @machiavelli_gr: Καιρίδης: ""Αν αποτύχουν τα σχέδια για το προσφυγικό τα ξερονήσια θα φαντάζουν Πολυάννα""","['καιρίδης', 'αποτύχω', 'σχέδιο', 'προσφυγικό', 'ξερονήσι', 'φαντάζω', 'πολυάννα']",0,0,χαρά
Αν η #ΝΔ_no_borders δεν αλλάξε…,"['νδno', 'αλλάξε', '…', 'σύνορο']",0,0,ουδέτερο
Βίντεο Σοκ! Με λαθρομετανάστη να περιγράφει με υπερηφάνεια ομαδικό βιασμό! Κύριε @kmitsotakis αυτήν την εικόνα ονειρεύεστε για την πατρίδα μας? Γιατί το μπόλιασμα θα είναι κυριολεκτικό!,"['Βίντεο', 'σοκ', 'λαθρομετανάστη', 'περιγράφει', 'υπερηφάνεια', 'ομαδικό', 'βιασμό', 'κύριε', 'την', 'εικόνα', 'ονειρεύομαι', 'την', 'πατρίδας', 'γιατί', 'μπόλιασμα', 'είναι', 'κυριολεκτικό']",-1,-1,θυμός
RT @GigouMichail: Βίντεο Σοκ! Με λαθρομετανάστη να περιγράφει με υπερηφάνεια ομαδικό βιασμό! Κύριε @kmitsotakis αυτήν την εικόνα ονειρεύεστ…,"['Βίντεο', 'σοκ', 'λαθρομετανάστη', 'περιγράφει', 'υπερηφάνεια', 'ομαδικό', 'βιασμό', 'κύριε', 'την', 'εικόνα', 'ονειρεύεστ', '…']",-1,-1,θυμός
Πώς καταφέραμε κι επιβιώσαμε τόσα χρόνια χωρίς μουσουλμάνους λαθρομετανάστες;,"['καταφέραμε', 'επιβιώσαμε', 'χρόνια', 'μουσουλμάνους', 'λαθρομετανάστα']",0,0,χαρά
"Ας ανοίξουμε την αγκαλιά μας στα κατατρεγμένα προσφυγόπουλα που βιώνουν τον ρατσισμό, την βία και την περιθωριοποίηση.","['ανοίξω', 'αγκαλιά', 'στα', 'κατατρεγμένα', 'προσφυγόπουλας', 'βιώνω', 'ρατσισμό', 'βία', 'την', 'περιθωριοποίηση']",0,0,θυμός
"RT @stavroforos_: Ας ανοίξουμε την αγκαλιά μας στα κατατρεγμένα προσφυγόπουλα που βιώνουν τον ρατσισμό, την βία και την περιθωριοποίηση.","['ανοίξω', 'αγκαλιά', 'στα', 'κατατρεγμένα', 'προσφυγόπουλας', 'βιώνω', 'ρατσισμό', 'βία', 'την', 'περιθωριοποίηση']",0,0,θυμός
